id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute_est,profit_net_est,mois,indicateur_retour,nombre_commandes_par_client,CLV_simplifie
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,livrée,138.7188,55.487519999999996,52.037519999999994,2025-12,0,25,9187.66985
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,livrée,66.924,26.769600000000004,11.839600000000004,2025-07,0,4,562.8648000000001
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,livrée,977.4716,390.98864000000003,385.27864,2025-11,0,26,9684.0545
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,livrée,192.159,76.8636,62.78360000000001,2025-10,0,17,5125.466
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.0,3.59,Virement,Instagram Ads,9.23,livrée,69.12,27.648000000000003,14.828000000000003,2025-07,0,16,3534.6702999999998
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,livrée,67.2864,26.91456,18.244560000000003,2025-10,0,21,5946.2559
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,livrée,133.0845,53.2338,47.4138,2025-12,0,3,694.155
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,livrée,1035.46,414.184,399.61400000000003,2025-12,0,19,3725.7567
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,livrée,833.4417000000001,333.3766800000001,310.64668000000006,2025-10,0,15,3435.4505
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,livrée,1350.3300000000002,540.1320000000001,529.5720000000001,2025-09,0,12,4025.1734
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,livrée,77.1144,30.845760000000002,14.84576,2025-12,0,21,4369.8875
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,livrée,32.7404,13.096160000000001,3.476160000000001,2025-09,0,3,122.13419999999999
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,retournée,514.818,205.9272,196.5872,2025-09,1,4,607.5171
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,livrée,83.985,33.594,11.744000000000003,2025-10,0,16,5010.4933
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,livrée,124.7454,49.898160000000004,38.11816000000001,2025-12,0,18,3413.3399999999997
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,livrée,393.7206,157.48824000000002,132.94824000000003,2025-09,0,3,892.7127
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,livrée,67.8462,27.13848,17.63848,2025-10,0,17,2774.8597999999997
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,livrée,183.47820000000002,73.39128000000001,53.061280000000004,2025-07,0,22,5932.3416
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,livrée,348.6471,139.45884,126.55884,2025-07,0,16,5678.6576000000005
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,livrée,301.4496,120.57983999999999,113.08984,2025-07,0,21,5908.7398
CMD100022,2025-12-12,C0150,Lomé,Électronique,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,livrée,20.387,8.1548,-14.9452,2025-12,0,16,4210.5255
CMD100023,2025-09-06,C1560,Kinshasa,Électronique,Produit_Électronique_41,370.82,3,0.0,2.56,Carte,Instagram Ads,8.73,livrée,1112.46,444.98400000000004,433.694,2025-09,0,5,2173.827
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,livrée,452.57519999999994,181.03008,163.86008,2025-09,0,4,2210.0907
